audio,sentence
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_10_quan/e2177c22-5c18-4b03-b087-07ad534d28eb.wav,"Đến thời điểm này, huyện Văn Lãng đã hoàn thành 14 nhà xây mới, gần 80 nhà sửa chữa cho hộ gia đình chính sách,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_7_quan/2289c0a1-26ac-43f4-b0a3-178b87507b2f.wav,Cảm ơn đồng bào và các bạn đã quan tâm theo dõi.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_quan/186334b1-4a8d-4b92-bce2-b87e12767993.wav,"Đồng thời, quan tâm công tác huấn luyện, xây dựng lực lượng dân quân tự vệ tinh gọn,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_16_quan/c78cb09d-d6bc-461e-b6dd-bd5266fd044a.wav,"Để giải quyết vấn đề này, tỉnh Lạng Sơn đang nỗ lực đẩy mạnh công tác chế biến nông sản,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_9_quan/1d31469c-bb78-46e8-a32e-0919905837c2.wav,"bảo đảm đúng đối tượng, đủ thời gian, nội dung sát với yêu cầu hàng năm."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_8_quan/58d29cc7-4321-4629-8564-0fc3c1b4d861.wav,"tuyên truyền, vận động người dân nâng cao ý thức bảo vệ cộng đồng, chung tay đẩy lùi dịch bệnh."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_manh/25e77107-b0e6-43bd-9049-3bcefd61c1c7.wav,"đột phá mới trong thức đẩy giao lưu thương mại của hai nước, đồng chí Bí thư Huyện ủy Cao Bằng cho rằng, việc công bố cửa khẩu song phương"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_14_quan/7fbe64d7-7259-4f36-864d-64371243e814.wav,miu MIL MỊU
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_11_quan/7f698049-2fa5-496f-81a5-addcd554d6ba.wav,"hệ thống này giúp theo dõi các công cụ, theo dõi đường đi của hồ sơ,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_quan/7d6b9874-e5e4-4000-8acf-f35e0e86d7b8.wav,để hạn chế đến mức thấp nhất tội phạm ma túy xảy ra trên địa bàn.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_14_quan/8e3351eb-4a8f-435f-9563-a21206f793d0.wav,"đã cho thấy sự chủ động sáng tạo trong tổ chức các chương trình hoạt động của đoàn viên, thanh niên huyện Lộc Bình."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_15_quan/8705d569-9288-41c8-a008-e78b971d3bed.wav,"thực hiện đầu tư trên 60 công trình giao thông, xây dựng trường học, xây dựng nhà văn hóa;"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_quan/9dcbe678-7bb9-4315-9e47-b93933596d3c.wav,"Cấp ủy, chính quyền xã cũng đã chỉ đạo thành lập các tổ để tiến hành rà soát triển khai tới từng thôn"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_1_manh/b1d55b1e-9dfc-4a83-8767-fa705e87ca6b.wav,"hiện nay các hộ được hỗ trợ cũng đã phát triển khá là tốt, có hộ cũng đã sinh sản được 2-3 lứa lợn,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_2_quan/e9c69988-9dc4-4927-98bf-ff82b53d0597.wav,"ngăn chặn, đẩy lùi sự suy thoái về tư tưởng chính trị đạo đức, lối sống,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_5_quan/ca19acea-a1e3-4203-9aaa-59edeff5c952.wav,"Đến nay, 100% các Bệnh viện tuyến tỉnh, Trung tâm Y tế các huyện đều có Phòng, Tổ công tác xã hội với nhiệm vụ giúp người bệnh"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_manh/baa55a09-8550-4887-89af-b3cfa713d8be.wav,"niêm yết công khai các quy trình, thủ tục giải quyết hồ sơ; công khai số điện thoại đường dây nóng của UBND xã"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_13_quan/db3be974-3639-4460-bfea-8fd2a467ac90.wav,"Là một người dân tại xã Công Sơn, tôi được cán bộ xã, thôn thường xuyên tuyên truyền phổ biến giáo dục pháp luật"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_16_quan/02334aab-a2e4-4c6d-904f-6ecd00654344.wav,trong Khoa Vật lý trị liệu - Hoạt động trị liệu lại bắt đầu công việc của mình.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_10_quan/cdbf26c6-3748-4681-9a3f-1691e6d55452.wav,"Để nâng cao trình độ chuyên môn, năm 2019 đến năm 2021 cô theo học và tốt nghiệp chuyên ngành Hóa học"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_manh/b78495bb-5e50-4c6a-af6f-355bc6b94518.wav,Thưa đồng bào và các bạn!
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_18_quan/fd99b5f5-ccbc-4ecf-b24b-d00428fd17d6.wav,"Trong kết quả năm học vừa qua, số học sinh học tốt môn lịch sử của nhà trường đạt trên 30%."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_7_quan/5bb168b1-92c2-4dab-91bd-267e506937cd.wav,"Trên chức Dân số - KHHHGD, Trạm Y tế xã Thái Bình, huyện Đình Lập, Lạng Sơn"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_19_quan/fa848943-3c4d-4439-924d-e006fa9a1f7b.wav,"và phụ trách địa bàn xã Thanh Lòa, huyện Cao Lộc."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_quan/dc2c8d63-6942-4ff8-b990-fb5164a6c261.wav,"đến cho các học viên, với mục tiêu là đọc thông, viết thạo, biết viết, biết đọc."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_16_quan/ae948b2a-fa89-49c2-a08a-dcd15dbd510e.wav,"Bản thân tôi là cán bộ phòng chống tội phạm ma túy Công an tỉnh, được lãnh đạo phân công thực hiện nhiệm vụ tại cơ sở cai nghiện"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_7_quan/f5cfba12-4952-40c2-ad0f-8bbaa343ac40.wav,chăm sóc sức khỏe và tinh thần cho người cao tuổi.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_17_quan/28342f47-259c-4b58-9041-a4bd2ea79368.wav,"để du khách trong và ngoài tỉnh dễ dàng cập nhật, tra cứu thông tin góp phần quảng bá ngành du lịch theo hướng thông minh, hiện đạ"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_1_manh/cc7cc7ea-e053-4c11-abef-2bec1b1e67ed.wav,"Tiếp tục thúc đẩy hợp tác du lịch qua biên giới, trong đó đẩy mạnh đầu tư xây dựng các hạng mục trong Khu cảnh quan thác Bản Giốc"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_10_quan/5144021a-e8a9-41fb-bbae-0ff036d74e67.wav,"khuyến cáo người dân thăm khám sức khỏe định kỳ để phát hiện bệnh sớm, điều trị kịp thời."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_manh/9a085c09-adb8-4f5e-972d-e8c846b5edf8.wav,"Đảng ủy, Bộ CHQS tỉnh luôn tập trung nâng cao chất lượng huấn luyện theo phương châm"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_17_quan/09f17df5-40fd-45fb-9145-fc44f2ac0f3f.wav,"Từ lúc truyền dạy đến nay, đã chuẩn bị kết thúc các cháu cũng đã học được những kiến thức cơ bản"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_7_quan/397eba41-c2a8-4483-a831-2efa69de0a81.wav,"các mô hình đã thành công như các dự án do phụ nữ khởi nghiệp, tạo việc làm, đẩy mạnh phát triển trong thời gian tới."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_quan/f5bc6048-90fe-4742-a423-d2018451c86d.wav,"Với những đóng góp đó, năm 2024, hộ gia đình CCB Dương Công Ngữ và CCB Dương Đức Sản"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_6_quan/242f8935-c390-4814-9915-110fd5ecbf9e.wav,thực hiện chủ trương mô hình chính quyền địa phương 2 cấp.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_quan/7d1df860-bb74-4f4c-ae1c-4ca09227479c.wav,"Với các cựu chiến binh, đây không chỉ là hành trình về nguồn, mà còn là lời nhắc nhở sâu sắc về giá trị của độc lập, tự do."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_6_quan/072d630b-2d9d-4a2b-9b38-0e2b92870203.wav,"Với sự đồng thuận trong cán bộ, đảng viên và nhân dân, xã Chi Lăng là xã nông thôn mới kiểu mẫu đầu tiên"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_19_quan/e1825b4d-8236-45a2-9f8d-3811aebcb4cc.wav,Tham gia Chương trình có trên 200 người là các đồng chí lãnh đạo Hội Chữ thập đỏ tỉnh;
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_10_quan/b405b77f-a400-4e64-90b8-7c7c44cf8f90.wav,"khi tiến hành xây nhà, sửa nhà cho các hộ gia đình; đặc biệt, linh hoạt trong thực hiện vấn đề đất đai;"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_7_quan/abc736ba-981d-4db2-b066-8519cf43b780.wav,"trong đội ngũ cán bộ, giáo viên và học sinh tỉnh Lạng Sơn ngày càng được lan tỏa,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_20_quan/f3496220-9d65-49cd-918d-fae2d8591c0e.wav,"Đến năm 2025, phấn đấu ngăn chặn, hạn chế tình trạng cảo hôn và hôn nhân cận huyết thống trong vùng dân tộc thiểu số."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_2_quan/34fd40b6-5db0-4a70-8d5e-2a178c137bbe.wav,"Mô hình hòm thư góp ý ""Lắng nghe ý kiến nhân dân, tham gia xây dựng Đảng, chính quyền"""
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_11_quan/0be5f7bb-cd2f-41bb-a115-a70e2552fa02.wav,tại khu vực đô thị đạt trên 72%.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_13_quan/c0cb60d1-3325-400e-8c97-c19dd73afc44.wav,"Phải tập trung chuyển đổi số, ứng dụng CNTT trong các hoạt động quản lý và nghiệp vụ của ngành"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_19_quan/590459c1-0def-4479-b0b5-caa5ce322af5.wav,"Theo kế hoạch, trong năm 2024 và 2025, huyện Bình Gia tập trung xóa trên 320 nhà tạm, nhà dột nát cho hộ nghèo, hộ cận nghèo,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_18_quan/317a216a-2897-41ab-b781-216cf2ce2d8b.wav,"Đoàn viên thanh niên đã được xem các tiểu phẩm về công tác phòng, chống mua bán người;"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_17_quan/6ad3e040-e1f1-42ca-95bc-7dcea9012c23.wav,khẳng định vị trí quan trọng như một mái nhà hạnh phúc không để ai bị bỏ lại phía sau.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_5_quan/44878260-9725-4517-a46f-3aca956b9959.wav,phát triển nhiều sản phẩm đặc sản của vùng núi Mẫu Sơn.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_19_quan/b63ee903-9b86-4682-878e-aa3219ac4cef.wav,Cảm ơn đồng bào và các bạn đã quan tâm theo dõi.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_8_quan/5e1bff71-2783-4e97-9d67-0c59ea95838b.wav,"Cùng với đó, Toà án nhân dân huyện Chi Lăng luôn chú trọng tăng cường tổ chức phiên tòa trực tuyến."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_4_quan/76952480-86b4-49db-adc4-965de9a08ed8.wav,"Với 32 hội viên, Tổ tiết kiệm và vay vốn thôn Nà Phân, xã Thanh Long, huyện Văn Lãng"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_11_quan/2461758c-7937-4000-85b7-c01e79cda40d.wav,"trong năm 2024 xuống chỉ còn 9,4%, giảm 5% so với năm 2023, thực hiện có hiệu quả mục tiêu phát triển kinh tế, giảm nghèo,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_17_quan/69fda570-6878-473b-8965-d6cc9adb0aff.wav,"Lúc trước là đường đất, bà con đi lại phát triển kinh tế rất khó khăn đến bầy giờ Đảng và Nhà nước quan tâm đầu tư"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_14_quan/3d43248b-6bfc-4bbd-b99d-f47c88e64a06.wav,ÔNG SCH NHƯ GIA ĐÌNH - Y BẮC SÝ LÀ NIÊM TIN None
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_11_quan/200c16cf-4185-4042-9707-fff773f6ff94.wav,tuyên truyền người dân sử dụng ứng dụng Vss/D để thực hiện các thủ tục.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_12_quan/2601f0de-75b9-488f-8280-a617a8126411.wav,"về các chương trình, đề án, các sản phẩm, dịch vụ, hàng hóa sức khỏe sinh sản được triển khai sâu rộng."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_8_quan/38bdcae1-da29-4210-aa54-450545cf7f69.wav,khả năng sẵn sàng chiến đấu của lực lượng dân quân tự vệ.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_5_quan/bdddb705-14c3-478b-b9f9-5e07c0d9c74d.wav,"Năm 2019, Thủ tướng Chính phủ đã phê duyệt nhiệm vụ quy hoạch chung xây dựng Khu du lịch Quốc gia Mẫu Sơn, tỉnh Lạng Sơn đến năm 2040."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_9_quan/7131ec33-5af0-47bf-8f81-dbe7f345e202.wav,và đóng góp vào công tác thu ngân sách địa phương.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_18_quan/a4f86b8a-1f9e-4eeb-a003-03e67f93afc2.wav,"Chủ tịch Hội Nông dân thị trấn Na Sầm, huyện Văn Lãng, Lạng Sơn"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_10_quan/1708da29-07ed-4815-b988-be9bb0022c81.wav,"Được lãnh đạo phân công là cán bộ tín dụng, bản thân tôi cũng đã chủ động tham mưu cho Chủ tịch UBND xã"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_9_quan/f92dbc3a-7ad8-405f-9144-a01de399c9f7.wav,"Công tác xóa nhà tạm, nhà dột nát ở Văn Lãng đã và đang được cả hệ thống chính trị vào cuộc với quyết tâm cao nhất,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_13_quan/8acae89c-4588-4c31-944f-9fd699eda439.wav,số hồ sơ nhận qua giao dịch điện tử là trên 57.200 hồ sơ.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_11_quan/79173815-2671-4ffb-ba28-3b1d176b698c.wav,"Sở Công Thương Lạng Sơn phối hợp với các sở, ngành và Công ty Điện lực Lạng Sơn kêu gọi người dân"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_manh/4fa1745e-459c-4302-b1dc-80d26ecb6b53.wav,78 NĂM TRÊN MIỀN BIÊN ẢI
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_11_quan/64541675-2c39-4196-83a2-ffaac3e78cf6.wav,trong công tác an sinh xã hội của địa phương.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_11_quan/8a0504e3-de03-4202-beec-ca3ca0994880.wav,"điều chỉnh giờ sản xuất tránh các giờ cao điểm trong ngày, lắp đặt thiết bị cho một số vị trí để theo dõi sản lượng."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_manh/7b0f62e9-5790-455c-bf66-b80158375372.wav,"Định hướng nâng cấp thành cửa khẩu quốc tể, tập trung phát triển các khu chức năng dịch vụ thương mai, dịch vu xuất nhập khẩu, dịch vụ du lịch,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_quan/ac251cd1-7503-49fc-ac4f-c658b23f1477.wav,phù hợp với điều kiện thực tiễn của từng địa phương.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_1_manh/e73e8a28-c8b9-44e4-9e22-57e62e9242a6.wav,Hai Bên tiếp tục chỉ đạo cơ quan chuyên môn phối hợp triển khai có ệu quả Thoả thuận thiết lập quan hệ hợp tác giữa Công viên địa chấu
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_5_quan/7257b8bd-994a-4bc6-933d-1bfbac1c0221.wav,"trong quá trình nằm viện, chồng tôi được Phòng Công tác xã hội kêu gọi cộng đồng giúp đỡ vợ chồng tôi với số tiền gần 34 triệu đồng."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_10_quan/c94c061c-c03f-48e4-8564-5dd963c39a62.wav,Đồng bào và các bạn vừa theo dõi chương trình Truyền hình tiếng Dao của Đài PT - TH Lạng Sơn.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_4_quan/c7ca641b-3600-45d7-aca3-8e7f869896df.wav,"và điện thoại trực tiếp cho từng bố mẹ, để đưa con đi tiêm."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_6_quan/1d285712-7b4d-4dd2-8c08-253ed7daba5e.wav,"Qua đó, đến nay, xã đã đạt tiêu chí với đầy đủ hệ thống camera an ninh giám sát; các dịch vụ viễn thông, Internet miễn phí tạo điều kiện cho nhân dân truy cập,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_quan/33e35781-a2cf-434f-bd7b-88c03b89273b.wav,"Để quyết tâm hoàn thành nhiệm vụ, ngành Giáo dục huyện Cao Lộc đã xây dựng kế hoạch cụ thể,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_15_quan/ff6a7f48-b57e-48fa-9667-00d462c2c6d8.wav,Tổ chức sản xuất: Biên tập chương trình:
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_2_manh/584cb939-7fed-49cc-88a0-ae830e3a8ac4.wav,Đây là ca khúc viết về người phụ nữ Vân Kiểu
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_12_quan/67597384-1948-444d-b5d1-b6873d86ebe7.wav,"Theo chương trình của Đảng, Nhà nước về xây dựng nông thôn mới, tôi cũng vận động gia đình, bà con hàng xóm hiến đất"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_10_quan/ef6aeffd-d4c4-4796-be9d-2089d2cb8f2f.wav,"Qua đó, giúp người dân phát hiện sớm các bệnh thường gặp, giảm bớt gánh nặng chi phí chữa bệnh cho nhân dân."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_2_quan/2ee443aa-837d-493c-9613-af84789da0cf.wav,"Để các siêu thị đón nhận, quy trình canh tác rất nghiêm ngặt, như đảm bảo nền đất không được phun thuốc diệt cỏ"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_2_manh/7732ba45-6ea5-44f6-99c8-6a155af7996b.wav,"phân biệt thông tin xấu trên mạng xã hội, để người dân cảnh giác"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_manh/151e12da-6c2f-4239-953d-ae4f70d558d3.wav,"Đồng thời, không ngừng rèn luyện, trau dồi kiến thức, cập nhật những kỹ thuật vật lý trị liệu mới"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_17_quan/927e787f-c668-40dc-b7b2-01436209973c.wav,"và có thể cập nhật sự thay đổi các dữ liệu thông tin, theo thời gian một cách dễ dàng."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_2_quan/28e3a278-08a1-4b27-9568-436a3b9d7cb9.wav,"của gia đình ông Nguyễn Văn Quyết ở xã Tân Hương, huyện Bắc Sơn, tỉnh Lạng Sơn."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_manh/7c631607-3ed9-47c2-a82e-353e1e77f69a.wav,NÔNG DÂN VÙNG CAO LÀM KINH TẾ TỪ MÔ HÌNH CHĂN NUÔI TẬP TRUNG
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_2_manh/9d44ef3f-e4aa-4cb9-bf68-8cc6ffbd3bc6.wav,"Ban đầu, chúng tôi đến đây để thưởng thức cảnh đẹp thiên nhiên của núi rừng"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_2_manh/83d365e3-d186-4fff-a735-e3862365d6c3.wav,"Tại vùng sâu, vùng xa, lực lượng dân quân đóng vai trò quan trọng trong việc hướng dẫn người dân"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_4_quan/7a83022f-dd24-497c-be2d-9f3af45d8ba1.wav,"Trong 3 tháng đầu năm, CSGT toàn tỉnh tổ chức gần 5 nghìn ca với trên 21.000 lượt cán bộ chiến sĩ tham gia tuần tra kiểm soát."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_20_quan/38f1bc8e-0be7-4293-b37a-bfcb3eef7844.wav,thi chạy ở 4 nội dung: nam cự ly 5 km; nữ cự ly 5km; nam cự ly 10km; nữ cự ly 10km.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_19_quan/dd7ac5b6-af3b-4236-a66e-d60817877f4a.wav,"Sự giúp đỡ đó là động lực, nguồn động viên tinh thần để họ vượt qua những khó khăn, vất vả, vượt qua những nỗi đau"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_20_quan/0ef44ef2-f778-4711-943d-6ae6b622219c.wav,"Tính đến ngày 15/2 huyện Hữu Lũng đã có gần 29 nghìn km, thu hút 330 tình nguyện viên tham gia, tương đương với 29 triệu đồng,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_1_quan/cf8a6eef-2ac7-4b88-81c4-cbc067047748.wav,"trong công tác khám, chữa bệnh."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_manh/1b0d3f93-6a2b-4145-9da1-12688e3a49dd.wav,Đối với bệnh nhân đến đây bệnh nhân nào không biết thì hướng dẫn tận tình và chu đáo.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_17_quan/b1755097-04e5-4b84-9e3d-b547b320f526.wav,"trên địa bàn tỉnh Lạng Sơn, giai đoạn 2021 - 2030"" với những nội dung, nhiệm vụ và các giải pháp cụ thể."
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_4_quan/ee556955-c2c0-4bb4-ae2f-fd92d9255351.wav,"Với các sản phẩm tiết kiệm đa dạng, phù hợp với khả năng tài chính của người dân và hình thức giao dịch thuận lợi,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_7_quan/b4ae22df-5e8c-4a8f-b8c9-bcfe240adb00.wav,"từ lý thuyết và thực hành, hướng dẫn các bạn tiết kiệm điện từ trên lớp đến gia đình,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_12_quan/2ab1fba7-f599-4584-b8f9-325feeff5e27.wav,"Tại Trạm Y tế thị trấn Nông trường Thái Bình, huyện Đình Lập, ngay từ đầu năm, viên chức Dân số - KHHGĐ"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_manh/021ff9e3-6b2f-4d79-b6e2-a61dadfcb9e2.wav,"Những ngày đầu sau khi tiếp nhận, đơn vị đã xây dựng phương án bảo vệ an ninh, an toàn cơ sở điều trị nghiện,"
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_3_manh/92796cb4-14e4-4682-889f-04450290d993.wav,Chăn nuôi bò vỗ béo không chỉ giúp anh Đinh Văn Đông tăng thu nhập cho gia đình mà còn góp phần phát triển kinh tế cho cộng đồng.
/mnt/d/WORK/Speech2text_dan_toc/OCR/static_convert/dao_6_quan/45d063a8-76ff-463d-8b86-5361212abd2a.wav,"cùng sự ủng hộ của doanh nghiệp, cá nhân trên địa bàn tỉnh."
